Блок / функция,FoodChain,iiko,R-Keeper,Poster,1С:Ресторан,Toast,Lightspeed,Jowi
Операции (POS),,,,,,,,
POS-терминал (столы, чеки, оплата),✅,●,●,●,○,●,●,○
Кухонный дисплей (KDS),✅,●,●,○,○,●,○,○
План зала / бронирование,✅,●,●,○,○,○,○,—
Экран раздачи,✅,●,●,○,○,●,○,—
Онлайн-заказы / QR / киоск,✅,○,○,○,○,●,●,○
Доставка / диспетчеризация,✅,●,●,○,○,●,○,○
Интеграция агрегаторов доставки,🔄,●,●,○,○,○,○,○
Склад,,,,,,,,
Справочник товаров / категории,✅,●,●,●,●,●,●,●
Технологические карты / рецептуры,✅,●,●,○,●,○,○,●
Автосписание по продажам,✅,●,●,○,●,○,○,○
Акты пересчёта (инвентаризация),✅,●,●,○,●,○,○,○
Заказы поставщикам / приёмка,✅,●,●,○,●,○,○,○
Перемещения / возвраты,✅,●,●,○,●,○,○,○
Списание сроков годности,✅,●,●,○,●,—,—,○
Производственные задания / заготовки,✅,●,●,—,●,—,—,○
Прогноз спроса / автозаказы,✅,●,○,—,○,○,—,○
Штрихкодирование,✅,●,●,○,●,●,●,○
CRM / Маркетинг,,,,,,,,
База клиентов / сегментация,✅,●,●,●,○,●,●,○
Программа лояльности / бонусы,✅,●,●,●,○,●,○,○
Отзывы / оценки,✅,○,○,○,—,○,○,—
Рассылки / push / SMS / email,✅,○,○,○,—,○,○,—
Триггерные маркетинговые кампании,❌,○,—,○,—,●,○,—
RFM-анализ,❌,○,—,○,—,●,○,—
Персонал,,,,,,,,
Сотрудники / роли / доступ,✅,●,●,●,○,●,○,○
Графики работы,✅,●,●,○,○,●,○,○
Расчёт зарплаты по сменам/часам,○,●,●,—,○,●,—,—
Учёт чаевых / премий,✅,○,○,—,—,●,—,—
Финансы,,,,,,,,
Смены / X-Z отчёты,✅,●,●,●,●,●,●,○
Кассовые операции / инкассации,✅,●,●,○,●,●,○,○
Онлайн-оплаты / эквайринг,✅,●,●,●,○,●,●,○
Фискализация (54-ФЗ / KKT),✅,●,●,●,●,—,—,—
Налоговый учёт / НДС,✅,○,○,—,●,—,—,—
Бухгалтерия / баланс / ОСВ,○,●,●,—,●,○,—,—
Экспорт в 1С / МойСклад / Битрикс24,🔄,●,●,—,●,○,○,—
Аналитика,,,,,,,,
Дашборд / KPI,✅,●,●,●,○,●,●,○
Продажи / категории / блюда,✅,●,●,●,○,●,●,○
Прибыль / P&L / ABC,✅,●,●,○,●,●,○,○
Фудкост / себестоимость блюд,✅,●,●,—,●,○,—,○
Расхождения инвентаризации,✅,●,●,—,●,—,—,—
Инфраструктура,,,,,,,,
Мульти-тенантность / франчайзинг,✅,○,○,○,—,●,●,—
Филиальная сеть,✅,●,●,○,○,●,●,○
API / интеграции,✅,●,●,○,○,●,●,○
Маркетплейс приложений,❌,●,○,○,—,●,●,—
Мобильное приложение управляющего,❌,●,●,●,—,●,●,○
Офлайн-режим,✅,●,●,○,—,○,○,—
Резервное копирование,✅,○,○,●,—,●,●,○
